,-1.38171,627.75,2761.74,96.8993
Wall,-3.0517,185.306,10.0002,444.418
Wall,1122.76,531.607,76.6996,98.5993
Wall,1524.76,486.5,72.9996,145.6
Wall,1840.53,437.5,79.2996,193.003
Wall,2279.55,433.802,79.1996,188.803
,640.325,438.354,37.8002,45.0001
,799.176,434.998,202.503,50
,881.668,241.982,38.5002,44.7001
,2840.89,628.641,597.501,96.2993
,3079.78,435.216,118.899,47.9
,3200.93,241.47,319.21,50
,3640.02,243.346,120.599,46.8
,3760.04,435.501,39.2002,48.8
,3999.99,435.791,81.3995,46.2001
,4242.17,437.16,35.9002,43.5001
,4241.04,436.941,38.6002,46.9
Wall,2753.84,612.763,-1.29981,44.3001
,3560.7,629.59,2558.24,94.8993
,6199.95,630.461,2239.33,93.9993
,4359.34,436.771,40.1002,44.0001
,4481.08,436.64,39.1002,44.4001
,4359.13,241.215,39.7002,47.5
,4720.83,434.303,40.3001,50
,4839.58,241.949,121.399,46.7001
,5161.02,434.488,79.7995,49
,5119.46,241.534,160.201,48.1
,5480.5,434.478,38.4002,194.103
Wall,5358.63,580.26,159.301,48.2
,5399.9,533.096,37.5002,47.2
,5439.59,482.683,40.7001,47.5
,5600.31,435.793,37.9002,191.103
,5636.96,579.987,121.899,46.4001
,5678.81,531.929,40.4001,46.6001
,5638.29,483.397,41.7001,47.7
,5921.14,580.093,198.903,50
,5961.23,532.769,160.001,47.1
,6001.01,484.75,120.199,45.4001
,6039.64,435.586,80.9995,46.3001
,6200.71,436.105,39.8002,191.403
,6242.21,483.853,36.9002,143.5
,6280.13,532.429,40.0002,97.0993
,6320.68,579.707,38.3002,48.3
Wall,6519.47,534.821,78.7996,95.7993
,6719.78,437.894,159.601,47
Wall,7160.76,532.765,77.9996,95.1993
,7239.37,580.626,360.713,47.3
,7520.34,241.671,79.7995,390.015
,7479.72,290.434,43.7001,342.812
,7440.51,337.933,40.5001,291.609
,7399.32,386.121,39.7002,241.806
,7359.66,436.429,37.8002,193.303
,7320.64,484.516,38.1002,143.7
,7280.14,531.476,39.4002,97.0993
,7920.9,579.639,37.7002,47.4
,7939.19,147.803,2.60019,428.417
,7929.79,120.927,20.0002,23.0002
Wall,2876.82,616.624,5.20019,77.5996
Wall,3400.16,617.455,5.20019,52.2
Wall,3708.76,586.818,5.80019,44.2001
